,station_id,stationame,month_beginning,avg_weekday_rides,avg_saturday_rides,avg_sunday_holiday_rides,monthtotal,line
0,40900,Howard,01/01/2001,6233.9,3814.5,2408.6,164447,red
1,41190,Jarvis,01/01/2001,1489.1,1054.0,718.0,40567,red
2,40100,Morse,01/01/2001,4412.5,3064.5,2087.8,119772,red
3,41300,Loyola,01/01/2001,4664.5,3156.0,1952.8,125008,red
4,40760,Granville,01/01/2001,3109.8,2126.0,1453.8,84189,red
5,40880,Thorndale,01/01/2001,2977.7,1840.3,1262.6,79184,red
6,41380,Bryn Mawr,01/01/2001,4425.4,2708.3,1881.2,117597,red
7,40340,Berwyn,01/01/2001,3329.6,2050.8,1445.6,88683,red
8,41200,Argyle,01/01/2001,2745.5,1874.5,1268.2,74240,red
9,40770,Lawrence,01/01/2001,2689.6,1869.0,1227.8,72786,red
10,40540,Wilson,01/01/2001,4968.1,3069.0,1903.8,131094,red
11,40080,Sheridan,01/01/2001,4455.9,2625.8,1685.2,116958,red
12,41420,Addison-North Main,01/01/2001,4805.5,2893.5,1900.2,126797,red
13,41320,Belmont-North Main,01/01/2001,9075.5,6860.5,4241.4,248310,red
14,41220,Fullerton,01/01/2001,10121.0,5239.8,3116.2,259203,red
15,40650,North/Clybourn,01/01/2001,3525.6,2674.5,1772.8,97126,red
16,40630,Clark/Division,01/01/2001,6501.5,4726.5,3209.0,177985,red
17,41450,Chicago/State,01/01/2001,12311.0,9184.3,5658.6,335872,red
18,40330,Grand/State,01/01/2001,8378.5,5428.0,3504.8,223562,red
19,41660,Lake/State,01/01/2001,13360.8,5721.8,3575.8,334704,red
21,41090,Monroe/State,01/01/2001,7123.0,2439.3,1269.2,172809,red
22,40560,Jackson/State,01/01/2001,11340.2,3649.0,1877.6,273468,red
23,41490,Harrison,01/01/2001,2384.7,1208.3,715.4,60874,red
24,41400,Roosevelt,01/01/2001,5510.8,3170.3,2052.0,144179,red
25,41000,Cermak-Chinatown,01/01/2001,2396.3,2349.8,2066.6,72450,red
