,Unnamed: 0,station_id,stationame,month_beginning,avg_weekday_rides,avg_saturday_rides,avg_sunday_holiday_rides,monthtotal,line
15007,15321,40900,Howard,2010-01-01,5836.3,3751.6,2684.2,151589,red
15008,15322,41190,Jarvis,2010-01-01,1387.9,1095.6,820.5,38158,red
15009,15323,40100,Morse,2010-01-01,3938.0,2800.0,2097.0,105342,red
15010,15324,41300,Loyola,2010-01-01,4774.8,3495.2,2363.0,127150,red
15011,15325,40760,Granville,2010-01-01,3413.0,2662.0,1936.3,93188,red
15012,15326,40880,Thorndale,2010-01-01,2713.1,1707.6,1296.0,70576,red
15013,15327,41380,Bryn Mawr,2010-01-01,4414.9,2924.6,2086.0,115436,red
15014,15328,40340,Berwyn,2010-01-01,3194.5,2205.0,1637.3,84739,red
15015,15329,41200,Argyle,2010-01-01,2507.4,1885.6,1412.0,68048,red
15016,15330,40770,Lawrence,2010-01-01,3089.5,2218.8,1699.7,83082,red
15017,15331,40540,Wilson,2010-01-01,5623.6,3359.4,2093.5,141829,red
15018,15332,40080,Sheridan,2010-01-01,4695.2,3111.2,2333.0,123458,red
15019,15333,41420,Addison-North Main,2010-01-01,5571.4,4393.4,3502.0,154407,red
15020,15334,41320,Belmont-North Main,2010-01-01,10220.2,8193.2,5860.8,280534,red
15021,15335,41220,Fullerton,2010-01-01,13206.2,7209.8,4997.8,330159,red
15022,15336,40650,North/Clybourn,2010-01-01,4192.3,3567.4,2428.0,116250,red
15023,15337,40630,Clark/Division,2010-01-01,6710.3,5210.4,3743.0,182716,red
15024,15338,41450,Chicago/State,2010-01-01,12178.2,9963.2,6993.8,335342,red
15025,15339,40330,Grand/State,2010-01-01,6971.6,6892.4,5461.7,206664,red
15026,15340,41660,Lake/State,2010-01-01,15913.6,8247.0,5271.5,391135,red
15027,15341,41090,Monroe/State,2010-01-01,8688.6,3312.8,2038.3,202566,red
15028,15342,40560,Jackson/State,2010-01-01,12193.9,3587.6,2364.2,276000,red
15029,15343,41490,Harrison,2010-01-01,3104.3,2258.8,1476.8,82240,red
15030,15344,41400,Roosevelt,2010-01-01,8880.6,6626.8,4806.8,239586,red
15031,15345,41000,Cermak-Chinatown,2010-01-01,2878.5,2657.4,1942.8,82514,red
15032,15346,40190,Sox-35th-Dan Ryan,2010-01-01,3867.4,2536.6,1811.2,100898,red
15033,15347,41230,47th-Dan Ryan,2010-01-01,3171.0,2062.4,1519.7,82850,red
15034,15348,41170,Garfield-Dan Ryan,2010-01-01,3886.1,2838.0,2011.8,103982,red
15035,15349,40910,63rd-Dan Ryan,2010-01-01,3638.4,2467.4,1830.5,96087,red
15036,15350,40990,69th,2010-01-01,5531.4,3890.0,2831.2,147065,red
15037,15351,40240,79th,2010-01-01,7550.2,5304.6,3746.8,200007,red
15038,15352,41430,87th,2010-01-01,4784.3,3240.8,2232.0,125282,red
15039,15353,40450,95th/Dan Ryan,2010-01-01,12454.2,7285.4,5432.8,318107,red
15049,15363,40890,O'Hare Airport,2010-01-01,7242.2,5851.8,6394.0,212466,blue
15050,15364,40820,Rosemont,2010-01-01,3709.6,1410.8,980.3,87128,blue
15051,15365,40230,Cumberland,2010-01-01,3998.3,1460.8,1076.8,93731,blue
15052,15366,40750,Harlem-O'Hare,2010-01-01,2528.5,948.0,625.3,59061,blue
15053,15367,41280,Jefferson Park,2010-01-01,5602.0,2521.2,2019.3,136762,blue
15054,15368,41330,Montrose-O'Hare,2010-01-01,1758.5,713.2,501.2,41743,blue
15055,15369,40550,Irving Park-O'Hare,2010-01-01,3777.0,1772.6,1323.0,92340,blue
15056,15370,41240,Addison-O'Hare,2010-01-01,2257.0,820.6,580.8,52728,blue
15057,15371,40060,Belmont-O'Hare,2010-01-01,4293.7,2295.4,1660.8,107316,blue
15058,15372,41020,Logan Square,2010-01-01,5471.0,2802.2,1931.3,135019,blue
15059,15373,40570,California/Milwaukee,2010-01-01,3641.8,1813.2,1396.5,90281,blue
15060,15374,40670,Western/Milwaukee,2010-01-01,4057.0,1818.8,1344.5,98300,blue
15061,15375,40590,Damen/Milwaukee,2010-01-01,4611.4,2640.4,1887.3,116754,blue
15062,15376,40320,Division/Milwaukee,2010-01-01,4829.7,2240.8,1573.5,117238,blue
15063,15377,41410,Chicago/Milwaukee,2010-01-01,3289.9,1399.2,986.8,78714,blue
15064,15378,40490,Grand/Milwaukee,2010-01-01,1741.3,773.8,642.5,42549,blue
15065,15379,40370,Washington/Dearborn,2010-01-01,7119.1,2104.4,1270.2,160524,blue
15066,15380,40790,Monroe/Dearborn,2010-01-01,5143.7,1119.2,748.5,112961,blue
15067,15381,40070,Jackson/Dearborn,2010-01-01,6962.4,1975.2,1305.2,156954,blue
15068,15382,41340,LaSalle,2010-01-01,2435.8,663.4,441.8,54684,blue
15069,15383,40430,Clinton-Forest Park,2010-01-01,2800.6,844.0,718.2,64541,blue
15070,15384,40350,UIC-Halsted,2010-01-01,4793.3,1418.6,852.3,108072,blue
